,bll.us,tmo.us,ceco.us,emr.us,mchp.us,ibm.us,cnp.us,sna.us,has.us,lb.us,cof.us,lnc.us,ko.us,clx.us,x.us,apc.us,intc.us,iff.us,dov.us,xlnx.us,gps.us,wen.us,brk-b.us,adm.us,xl.us,t.us,rf.us,wmt.us,rtn.us,mat.us,ebay.us,leg.us,ctxs.us,xray.us,eqr.us,luv.us,mcd.us,dgx.us,bby.us,twx.us,nke.us,bc.us,see.us,cag.us,adsk.us,msa.us,phm.us,msft.us,ca.us,mro.us
cof.us,0.41569332482874755,0.3907140684271611,0.18763315748017279,0.5073886812974878,0.3956708276446496,0.42931962872203366,0.19695379755807957,0.47618150246565033,0.373746513937056,0.479040350458829,1.0,0.5801180774538777,0.30900925549775043,0.28949028063209303,0.4139046636819672,0.37918604168389214,0.4345215222114216,0.40043312669050285,0.5222253929028946,0.37110862765933994,0.3782176720994626,0.3665452567238418,0.39238600543529484,0.32327043843372943,0.5329840182300936,0.416064046166264,0.5069346355492752,0.3604413391515729,0.2862875141620356,0.3736295516203273,0.40469882024132436,0.49232230579328284,0.32931689284846527,0.3665543652402666,0.5629962501596146,0.402730674237721,0.3242249784141506,0.27427347070213143,0.36695797613158926,0.41071274671161345,0.44365169480116395,0.475509014227484,0.37224310920838605,0.24009604421254413,0.39620915850906424,0.3577513198820642,0.477137636686233,0.4121368913183815,0.38923701722825915,0.4112403848844485
lnc.us,0.4407314331334969,0.42738389983058495,0.17413235917313122,0.5058343164259044,0.34492882847151657,0.4059752466640025,0.23351588936512715,0.513674578438585,0.3596497762728546,0.462699631495434,0.5801180774538777,1.0,0.3504514138332935,0.27952264007841254,0.4688559146883368,0.40934370339826937,0.3733950355226195,0.44542564379424154,0.5249833470341383,0.31832914001061147,0.38755207960931054,0.3954972898949703,0.48579543721473917,0.3878891325666767,0.5850180956220368,0.38699664074617146,0.4843276822314004,0.3468254325497288,0.309014375312041,0.39747761413696436,0.39114929662270437,0.4883405692019613,0.3160624988452274,0.4560259813635517,0.5568204158493197,0.3815046660983646,0.31807715782300894,0.30910540078655696,0.3481803076132311,0.44537078591440243,0.4029903089231774,0.5126832464906477,0.37148465381861434,0.30961420214831314,0.3767529632336118,0.39594499333713373,0.4351682630416626,0.40603287275562355,0.35048715271345204,0.46209196551770315
ko.us,0.378893707301179,0.38027935375046557,0.17307909134509714,0.45226231444752457,0.3026044870244195,0.3773423383859981,0.22945309083792248,0.4025182788706278,0.3192227573730029,0.35280119263875004,0.30900925549775043,0.3504514138332935,1.0,0.41338150801723966,0.3268164815774645,0.320780098103108,0.38518161412691115,0.42822739510551383,0.39261321993973924,0.30231832694183597,0.3254944802691828,0.29507830399165635,0.2976671752558561,0.37857054161058706,0.3247503325209311,0.41493669929396754,0.24198277913817737,0.39249172761488155,0.31180863806437265,0.3339411652235984,0.3083565161926046,0.38548388474081696,0.25304041218779105,0.38707392990563544,0.3179019805505323,0.30115626738320395,0.3583023534707792,0.30738635500406974,0.2718538142219992,0.3583156523108236,0.37622540693307194,0.3267115973559742,0.2852329005527893,0.3787627198889212,0.31827246202655674,0.328031133249863,0.3035100790013099,0.4224578367246587,0.30155783411730663,0.3580047820214208
clx.us,0.36139208419617025,0.33363367117538095,0.19255350757058495,0.39828511529221444,0.24335996379814087,0.30981606486864105,0.1674466238496811,0.3613765842981882,0.29661547130370625,0.31495308723086457,0.28949028063209303,0.27952264007841254,0.41338150801723966,1.0,0.25286615415790104,0.2588265647771048,0.29986146308076506,0.3829279844435343,0.36890038382683227,0.2425228724866231,0.28629542672664454,0.2640860297611034,0.2535023213282106,0.30752897148238706,0.2865563931563973,0.31844753197598485,0.22312651230189862,0.3564945915734992,0.2791490953287685,0.3039782388244102,0.26059604995765034,0.3723251481388293,0.22041635917780375,0.3638098820359284,0.30387839422900215,0.2990027376733562,0.30023464773469366,0.2619999648386126,0.24632923066470025,0.28879177813395585,0.3296456595704238,0.3066815882693494,0.24872471010113414,0.3141512336912245,0.2641129235304305,0.28464123571409605,0.3117230154404503,0.32184159813186475,0.2760270438323901,0.30899623150464656
x.us,0.5011607228778995,0.4614220479355539,0.19640213769482973,0.5603564350466131,0.38485438652862386,0.43070422430572286,0.25485526763123073,0.506943830788612,0.3836455953650229,0.406649908077689,0.4139046636819672,0.4688559146883368,0.3268164815774645,0.25286615415790104,1.0,0.5349417164403307,0.43244031033510955,0.4661670176862933,0.5727401830060805,0.3822674260090674,0.34535295064177574,0.3565418932587634,0.3767279450940741,0.4226934170360702,0.35634362666107794,0.3763795224346288,0.3439075305062246,0.29220019142848674,0.3254602170362695,0.3491399497883185,0.4016983285898442,0.47017298737491237,0.34412873866905164,0.4081679293484025,0.4320800903399542,0.3687515829947585,0.30548497893195536,0.30437131603027545,0.3244598423075378,0.42356205419669474,0.408982966865085,0.45747481514390487,0.39506270322904863,0.27521027004523313,0.4233411725242197,0.378289148628714,0.40733432193744973,0.4260366119813561,0.38956820617289184,0.5691260861511074
apc.us,0.43371303484363233,0.41566908212709747,0.16162614274614395,0.5092537017736181,0.32424424226182585,0.3887857354959961,0.2753626185023959,0.44830156243475405,0.31603343687087443,0.314948933671279,0.37918604168389214,0.40934370339826937,0.320780098103108,0.2588265647771048,0.5349417164403307,1.0,0.3489147082055464,0.43171587175247916,0.4971986388998744,0.29739229213860197,0.2913893661560399,0.3217737489661139,0.3776768831999844,0.4400097560658813,0.36172156591675825,0.3495844649111165,0.3062957630132103,0.24165541945287516,0.3206237064364125,0.3075315939078303,0.3336685015080355,0.39045825557121505,0.3033035809958061,0.3766012175344151,0.35763697077111645,0.25729881361395734,0.28476795050450043,0.2838299433176498,0.2709244079119403,0.37122872266472884,0.3647531125301306,0.399253824482541,0.3087123246367868,0.22125281221858004,0.36750144553176095,0.35295364810391644,0.36025654552862124,0.37560419524262934,0.33576797225631394,0.7233315896314602
intc.us,0.41040620896079805,0.4599544358639601,0.21523118163499158,0.5503210348702001,0.6567302831057201,0.5901006691101832,0.19543187348049285,0.48127183725901174,0.3813787470351308,0.4532176792402843,0.4345215222114216,0.3733950355226195,0.38518161412691115,0.29986146308076506,0.43244031033510955,0.3489147082055464,1.0,0.39769165470191403,0.5408814085772278,0.6828419981764101,0.3829051838334916,0.33717807171506975,0.3019268209622665,0.34174090724313955,0.32725313622463276,0.42931390715596274,0.2921082395859886,0.4141460247598446,0.29739065519586805,0.3423550091704343,0.4594584051630931,0.44816043525397403,0.4740086877552346,0.38696904940731974,0.39958510460205693,0.3792971820809589,0.33234320420286284,0.3140910356622358,0.4009530937767844,0.5008840133220961,0.42517113451544347,0.416208606065236,0.36173234138063015,0.25020086244230866,0.45124580457023905,0.3470062608511305,0.3758293976558358,0.6211036082999662,0.514635252393784,0.38187920779746704
iff.us,0.4749861037800949,0.4573582620004561,0.21752555742627028,0.542220915705027,0.353635493678219,0.4100596654454626,0.23338732543987242,0.49562259715073564,0.3836671525567709,0.4268717767996698,0.40043312669050285,0.44542564379424154,0.42822739510551383,0.3829279844435343,0.4661670176862933,0.43171587175247916,0.39769165470191403,1.0,0.5367199875343026,0.3258368052786016,0.3593619477297605,0.3670375538980001,0.3588758958846423,0.4160652755053543,0.3611952860176641,0.4026962153376828,0.3160526891418219,0.40565652049195816,0.3589093406412845,0.40035686622317457,0.35911893102288883,0.4851002664596472,0.3197642695989436,0.4507303023795435,0.43906680349508304,0.37762789023894633,0.33916637826415813,0.2801500682615865,0.33716328380116195,0.3834592680437771,0.42572405704952054,0.4417547818376217,0.3708233391614387,0.3232717453429567,0.38117235688084616,0.400299971263105,0.4078300214133743,0.42522491731622447,0.3386661252297252,0.4475094243631577
dov.us,0.5715823155601142,0.5527383581269207,0.2553802075283956,0.7035769657460232,0.50251906005582,0.5510818911783856,0.27419919905288925,0.6292855309911799,0.4936204331551818,0.5335074149642235,0.5222253929028946,0.5249833470341383,0.39261321993973924,0.36890038382683227,0.5727401830060805,0.4971986388998744,0.5408814085772278,0.5367199875343026,1.0,0.48908510395549354,0.4500827274943999,0.4336738308729754,0.42844471165849773,0.4341558676665044,0.45242189021203133,0.4548949341378594,0.4134650024673191,0.41628981092689876,0.38977339888768237,0.4689888555740432,0.4775181419783736,0.5916097831761694,0.43794531372511214,0.4929328369350171,0.5144418130453527,0.49824562607365713,0.403844843385118,0.3437868502339405,0.4464816550651149,0.5176875092256437,0.5169345194158332,0.5526874973636671,0.457508187128874,0.35226214104881964,0.4982173132493189,0.46483104518945384,0.4877924405147843,0.5047294757805807,0.4787445802265155,0.5471804218036295
xlnx.us,0.367451456076495,0.4346029558013241,0.21387434160576385,0.48467990496849483,0.6840374887000065,0.5189123786361896,0.1575161079497528,0.4213737876752217,0.37212611599774076,0.40095045289105447,0.37110862765933994,0.31832914001061147,0.30231832694183597,0.2425228724866231,0.3822674260090674,0.29739229213860197,0.6828419981764101,0.3258368052786016,0.48908510395549354,1.0,0.3197773769057423,0.2893304390679166,0.2593248870740686,0.28087138363558134,0.2629898444634751,0.36012598797502166,0.24653888341058486,0.34147743447672596,0.2507032086460641,0.31506628485219124,0.4509967243496507,0.39001561450266153,0.4746927919965338,0.3518033710138192,0.3112612725024262,0.34675222921719884,0.2855995266475983,0.28543852190965313,0.36673443228239105,0.4463589405712599,0.37517041640883614,0.35696118895638623,0.3270814094568155,0.20540631833834708,0.43828378906932947,0.3251636021235996,0.346905923737816,0.5159023121359225,0.49449742120641893,0.3149554526795496
