,bll.us,tmo.us,ceco.us,emr.us,mchp.us
1998-01-30,0.006647887323943724,0.006641055421543252,0.03734439834024883,-0.001842723545400049,-0.007247676796670377
1998-02-02,-0.014495186926348769,0.03842967871723557,-0.019999999999999907,0.0188304795310843,0.11274350355994067
1998-02-03,0.014708387756261043,0.0,-0.028571428571428692,-0.006342015855039684,0.04077821264433146
1998-02-04,0.002574434743676024,-0.012421298538503156,0.0,0.007203100068384094,0.013871551616527311
1998-02-05,-0.0038517360723456795,-0.009490840905812759,-0.01680672268907568,0.0068800072421126846,-0.04740138818351103
1998-02-06,-0.009302325581395321,0.011270969245107176,-0.02564102564102566,0.029354911216003643,-0.015655039824224115
1998-02-09,0.0013575428474461582,-0.0047806929124788455,0.013157894736842257,0.013450956415407278,-0.01465664390756316
1998-02-10,-0.004067107269954295,-0.01872269004832594,0.0043290043290042934,-0.016159613892958724,0.013458815690847059
1998-02-11,0.0027224774544836183,0.0013860218224712728,0.06896551724137945,0.0029346064561344143,-0.00262971911312726
1998-02-12,-0.0078624356581255,0.006596578025149347,-0.016129032258064502,-0.0017905493929603056,-0.012046207339782122
1998-02-13,0.002622576966932799,0.00453468301102955,0.004098360655737876,-0.012118825742660988,-0.00535428342674138
1998-02-17,0.006653019447287578,-0.026794035414725137,0.03265306122448974,0.007174490699734193,0.0027334775536214106
1998-02-18,0.004067107269954295,0.006643524060330641,0.007905138339920903,0.006507782956644226,0.0026424055925342582
1998-02-19,-0.0040506329113924044,0.009483322432962682,0.0235294117647058,-0.009654871122761088,0.03382706164931948
1998-02-20,0.0,0.0,0.0,-0.005073007190436241,-0.01834462729912867
1998-02-23,0.0026549172456644676,0.006596578025149347,0.003831417624521105,0.0,0.009401245829429916
1998-02-24,0.0,0.0,0.01526717557251911,-0.0039017469185068654,-0.023821541968574445
1998-02-25,0.013295774647887448,0.03961265030279981,0.003759398496240518,0.023813763019674195,0.0
1998-02-26,0.00911820304681421,0.00439003799071358,0.0,-0.005564975435850439,-0.016129570322924947
1998-02-27,-0.006391184573002806,-0.004370849794065879,0.011235955056179803,0.003934770253136932,-0.01786894973298303
1998-03-02,0.007763114117777636,-0.027522161249472377,-0.011111111111111183,0.009493533074946603,0.0027619064058965748
