,bll.us,tmo.us,ceco.us,emr.us,mchp.us,ibm.us,cnp.us,sna.us,has.us,lb.us,cof.us,lnc.us,ko.us,clx.us,x.us,apc.us,intc.us,iff.us,dov.us,xlnx.us,gps.us,wen.us,brk-b.us,adm.us,xl.us,t.us,rf.us,wmt.us,rtn.us,mat.us,ebay.us,leg.us,ctxs.us,xray.us,eqr.us,luv.us,mcd.us,dgx.us,bby.us,twx.us,nke.us,bc.us,see.us,cag.us,adsk.us,msa.us,phm.us,msft.us,ca.us,mro.us,jwn.us,key.us,ben.us,gd.us,px.us,cpb.us,dish.us,xom.us,pki.us,pdco.us,mxim.us,wy.us,pld.us,rave.us,efx.us,stt.us,spg.us,hig.us,drys.us,grmn.us,mtb.us,fhn.us,jbl.us,etfc.us,ba.us,bbby.us,wor.us,jpm.us,wmb.us,kss.us,bdx.us,abx.us,pbi.us,odp.us,low.us,pcg.us,snps.us,cop.us,abt.us,intu.us,klac.us,tjx.us,wba.us,tif.us,syk.us,pep.us,aem.us,lamr.us,apa.us,ntap.us,ups.us,kbh.us,gt.us,leu.us,ph.us,cien.us,ntrs.us,ed.us,duk.us,cce.us,dte.us,azo.us,utx.us,flex.us,cost.us,mar.us,csx.us,bsx.us,aphb.us,hrb.us,cmcsa.us,dyn.us,r.us,dis.us,axgn.us,col.us,lly.us,spgi.us,dltr.us,aee.us,zion.us,amzn.us,kbal.us,aapl.us,aaba.us,tkf.us,cinf.us,f.us,mmc.us,ppl.us,fcx.us,iac.us,orcl.us,unm.us,adi.us,slm.us,gfi.us,emn.us,hum.us,ttnp.us,rok.us,pgr.us,d.us,aes.us,syy.us,dlx.us,ryaay.us,fitb.us,gpc.us,avp.us,fast.us,nue.us,itw.us,tmk.us,mmm.us,bk.us,cvs.us,glw.us,aiv.us,au.us,rdc.us,mrk.us,ci.us,hon.us,gntx.us,bac.us,dwdp.us,aa.us,amgn.us,sre.us,cvg.us,kgc.us,jcp.us,nyt.us,sbux.us,mdp.us,pnc.us,bb.us,cl.us,gs.us,flr.us,bbt.us,viav.us,noc.us,fe.us,dds.us,pnw.us,aig.us,etn.us,gg.us
bll.us,0.00023408140613450902,0.00013155268405245954,0.00012834817230206324,0.00015898304899349307,0.0001376070864711277,0.00010082645390776511,0.00010788018148164403,0.00015472883896811197,0.00011028135866324481,0.0001569379299641594,0.00019800280863606451,0.000282959939967353,7.596562793758658e-05,6.894311578460783e-05,0.00028196409572679037,0.00018663504663041924,0.00013774883849632455,0.00012556337168789835,0.00016427301262021143,0.0001365762541322372,0.00013345484965192594,0.00015406255938971625,8.597418111550007e-05,0.00013786776667270548,0.00023893941355120123,0.00010112005916909778,0.0002194942272259377,7.197983046269401e-05,9.061586109558394e-05,0.0001187632014425958,0.00013993215450284344,0.00014638371995727274,0.00014083436128210734,0.00011551556111027319,0.0001743196500955195,0.00013751410928405857,7.888764166405208e-05,8.471828949596977e-05,0.00013863549283484348,0.0001445767083609451,0.00011629653194401953,0.00025391678543451146,0.00015814244329128257,6.305768852665899e-05,0.00017144682196285716,0.0001698390046878577,0.00021641805322882124,0.0001231662840039225,0.00012872213382072903,0.00019542019620427299,0.00015922247475117407,0.00022383035199358218,0.0002013222641585537,0.00011093155136865275,0.00014763755463198495,6.584350781207177e-05,0.00015527409171295844,0.00013190124046630458,0.00014176499313412648,0.00011427887443000946,0.00011755413509376139,0.00017116653630599708,0.0002959247312501841,2.7808082738127912e-05,0.0001269106191435521,0.0002058793313354889,0.00018459390610479155,0.0002621632212618696,0.0003025053867288101,0.00013782518289528987,0.00014764123214292734,0.00018488589638947155,0.00019472540645700532,0.00025396702561057965,0.00013036315351324293,0.00013506285047469759,0.00022863698176809184,0.00019366238492576223,0.00018997542472343624,0.00012750405109791886,8.843683571872177e-05,9.543347203985503e-05,0.00012627378899532607,0.0002549348438594745,0.00013955278052586812,8.61569837153746e-05,0.00010748508877115334,0.00015280723059107407,8.081400413635145e-05,0.00013117802489163137,0.00014775870558720255,0.00011270613476422619,9.428434492057738e-05,0.00017264580728192365,0.00010834455105880952,7.015815219186874e-05,0.00012194506627505542,0.00015903705260579502,0.00017042693850499038,0.00016486798292170021,0.0001142653709390355,0.00022004179658321698,0.00023370725140354256,0.00022466502838790653,0.0001767474874912745,0.0002001726439669682,0.0001804679176034955,7.083324209421675e-05,7.944920081276699e-05,0.00011658442547405229,9.780167409408041e-05,9.583810820738768e-05,0.00012862031003761795,0.00019000908986248056,8.846142702745393e-05,0.00016688022857017928,0.00017303421016757762,0.0001367992112806381,4.475335072094956e-05,0.00013133418185612975,0.00015072466147095744,0.00019014349303013501,0.00017563973223715205,0.0001408301161789661,6.405933185582516e-05,0.00012978614465446886,9.713156792714072e-05,0.0001577849167630402,8.624379463299122e-05,0.00010127510914657269,0.00020240127608007308,0.00013229371154781824,0.00022326992382131267,0.00013600701999000818,0.00012902363250293894,0.00017145593757397315,0.00016319679675359103,0.0001792584763070957,0.00011856778253171557,0.00010100796355408032,0.00025939485707372723,9.46683440115935e-05,0.0001391426652865781,0.00020762782191545483,0.0001339520882027108,0.0001977146826110741,0.00012515009687214548,0.00017606987870344673,0.0001125775332381029,-0.00012617684739440173,0.0001805327394861199,0.00013916672288667194,8.577572273319329e-05,0.00018043987750727332,9.156868699716688e-05,0.00020420504128406254,0.0001380625354482735,0.00022906992842226765,0.00011229229701297283,0.0001452570396031533,0.00014687902789062933,0.0002519449472284873,0.00014486923431859003,0.00015032347716501565,0.00011763322550482341,0.00019195177706347148,9.71974148750999e-05,0.00015317051194756236,0.00021111307885722503,0.00014113684429371926,0.00021889312913731166,9.753815615835987e-05,0.00015947015118983354,0.00014434816282827238,0.00014586284487376862,0.0002206636194413148,0.00017229242183672036,0.00022584929951567124,9.654911387678261e-05,0.00010834567923269584,0.00014970635616428176,0.00013293332721732695,0.00016857781764179175,0.00016102202036921782,0.0001363972594516025,0.00013270651795909671,0.0001682733984582455,0.00015425621714214034,7.89363956989649e-05,0.00018834548829891432,0.0002001354797005071,0.00016666980965510174,0.00020646371194507832,0.00010683167858403648,0.00010154106806026173,0.0001968442519107138,8.76631704171997e-05,0.00021431724168754167,0.00017377131005019385,0.00010877372146021031
tmo.us,0.00013155268405245954,0.00027632143366705685,0.00014844845567819426,0.00017424452999898572,0.00014711824596760513,0.00011195865427380615,0.00011537813013675844,0.0001708431740799325,0.00011845337433655139,0.0001585025593159004,0.000209016712708798,0.0002928852761763161,9.22278519481629e-05,8.089865253998834e-05,0.00029183656040183644,0.0002032046432100575,0.00014998213453259687,0.00013518601571689965,0.00017121789001005717,0.00014523000517517224,0.00014818153554933683,0.00015217499194840914,0.00010173301273823447,0.000142994792178723,0.00025964007700867586,0.00011087691405831004,0.0002127445425692677,8.140410941690983e-05,0.00010231146075876228,0.00013007210802073522,0.00015914971732910378,0.00015255945812588055,0.0001692170847034638,0.00014219365974010468,0.00017348529614585976,0.00015091861740788192,8.476936955388131e-05,0.00010641126654251311,0.00016198469631104233,0.00016052825722397764,0.00013012835933259937,0.00028242529180684935,0.00014300727874981984,7.793741842710905e-05,0.00019575542647262464,0.0001967440659284541,0.00022553540998169173,0.00013988219927092398,0.0001487511596268535,0.00021221152482086522,0.0001717546353999256,0.00021572780864397218,0.00021667080703066376,0.00011976058333712118,0.00015028822656408346,7.427332003188745e-05,0.00017676340336502584,0.00013849906826481623,0.00019343536618659745,0.0001453802762583105,0.00012436542383471326,0.00017767072169755051,0.0003052637848107711,3.013159222422683e-05,0.00014181717061755202,0.00021328575080094481,0.0001834472990392477,0.00026942089757267404,0.0003048524734076248,0.0001654880402638839,0.00014935308950894414,0.00020003173080932707,0.0002200954901267654,0.00025999616587417103,0.00014589590296265611,0.0001464276750252137,0.0002450771572582263,0.0001936572335712102,0.00019760005504084352,0.00013828950859063704,0.00010665734439834942,7.024733031520975e-05,0.00014214397277331279,0.0002864459499607407,0.00014594608561875388,8.993314801913473e-05,0.0001119257123574515,0.00015573346942014186,9.955507824585195e-05,0.0001365890752996979,0.000164225684442532,0.00012412111702205645,0.00011534449260944458,0.00019129654241800272,0.00013953155523155334,8.615664712744902e-05,8.650615061587095e-05,0.0001985306114891628,0.0001874384398271273,0.00017189658321225623,0.00012625647278516526,0.00023179588526357547,0.00023607519594875774,0.0001984175751771136,0.0001872688127778018,0.0002215224220717893,0.00018123060105237326,7.324087817673917e-05,8.595022257500486e-05,0.00014996717384055153,0.00010873137651751221,9.645993923969572e-05,0.00014376108544399477,0.00022048077847566902,0.00010581645300813552,0.0001727000213165775,0.00017327321416521548,0.00018617801193492669,4.983334615924012e-05,0.00014988176640795816,0.00015964290299298544,0.00019021731084362665,0.0001821644403796768,0.00015843100049590586,3.355525560539743e-05,0.000141608070303701,0.00012213588151188003,0.00018350862553736914,0.0001008164767715711,0.00011014712160961183,0.00020725066234294278,0.00018655541715303445,0.0002426891008317044,0.00013997557022612823,0.00013791400721618356,0.0001965204124219649,0.0001666704542999862,0.00017767799008730609,0.00012858417866074397,0.00010345452577780537,0.0002630664472607561,0.00011465879561675606,0.0001533729285328128,0.00022336185170523162,0.00015030321162797324,0.00021074944489218961,9.9464848594985e-05,0.00018206802981859737,0.0001260477513218285,0.00026414809580939494,0.00019473121315293374,0.00014809360954995873,9.517027678167645e-05,0.00018521756176451243,0.00010873814664614427,0.0002228468416757246,0.0001495554519923653,0.00024049163056852734,0.00012414653240930891,0.0001565481863715965,0.00016717893815159604,0.00030770610029696646,0.0001548951017469584,0.00016456582102663918,0.0001315888842455344,0.00019084392340477127,0.00011359655064463728,0.00017174754583006594,0.000195141867849955,0.0001294488093370071,0.0002295182476408468,0.00012423094831713304,0.0001840301755638944,0.00016037271045809547,0.00016293959703486395,0.00020856417560761762,0.0001937043456871355,0.0002348825642945369,0.00013040555141719448,0.00011395333789312709,0.00016478967580740966,0.0001030851257778431,0.0001617246170103653,0.0001629401567647578,0.0001586759380506512,0.00013662764595308863,0.00016172844325406253,0.00016377524269451735,9.693763494162361e-05,0.00020034388959368587,0.00022328130293740146,0.00016906645272667423,0.00022373985725548433,0.00011933228772366152,0.00010961535244181988,0.00021050703788942496,9.604447476371005e-05,0.00022024081823069042,0.00018085473105926953,7.601543728093371e-05
ceco.us,0.00012834817230206324,0.00014844845567819426,0.001470226298698672,0.00014959111376443523,0.00015677771817055493,9.684303712857808e-05,0.00010426957733735541,0.00017134406737771745,0.00014414480824718296,0.00016136016670494516,0.00017556909322581797,0.0002288287472758458,8.218666710401904e-05,8.02844328239684e-05,0.0002736110705989741,0.0001567292070518371,0.0001512329298218014,0.00011330629532073846,0.00017108063747292432,0.0001616663789386019,0.00013646113519194406,0.00020445753297835637,8.460258940158457e-05,0.00012909481499158532,0.0001881343792633631,9.760668056025081e-05,0.00023400729366318502,6.126251786424049e-05,0.00011187050214723743,0.0001331947060832806,0.0001709736725785049,0.00016637806622989495,0.00017084426276552523,0.00013405622186521125,0.00018051249579146937,0.00018228933067170625,8.36728915386165e-05,8.208511597074539e-05,0.00016491810456666434,0.00014499918247206216,0.00013028840134026644,0.0003086319501156491,0.00017010714210115695,7.70042323066189e-05,0.00017690047738812213,0.0001829144148812858,0.00026049605310973664,0.00014361862518383063,0.00016591381366467587,0.00017005269394887893,0.0001696262522307649,0.000202176668549166,0.0001991489904070434,0.00012144337869951207,0.00013231082272574025,6.817000115158849e-05,0.0001729175313289012,0.00010401690028483471,0.0001494140322950367,0.0001198200314080976,0.0001473007041010161,0.0001928688056057633,0.0002658952554828582,-7.544799542555767e-06,0.0001293713869100069,0.0001821671374700772,0.00016962920749153323,0.00020114060494507455,0.0003171025080584438,0.0001424460482262305,0.00016530457129561727,0.0001961065125419697,0.00020988524675353177,0.0002714277705952761,0.00014173075900707446,0.00015404777985511542,0.00025310626961160036,0.00018460117514566122,0.00015183592220190705,0.00013795837216470217,0.00010581444152596455,8.053119519342795e-05,0.0001525358165603378,0.0002877038179704517,0.00014312977651237768,7.975724101819987e-05,0.00011714304171867376,0.00012797469306010447,7.965433742434456e-05,0.00016208258193786882,0.0001742095610656527,0.00011708449770845452,9.94370357841868e-05,0.00020483433176683068,0.00011545129092562016,7.890562458125223e-05,8.582088924821288e-05,0.00016725981215702556,0.00014142475609293435,0.0001819400428545054,0.00011718973834129303,0.00026769480249374205,0.00028335944781364663,0.00021832372613705479,0.00019463046079346577,0.0002514808937675618,0.00019222399968380743,6.560676224904514e-05,6.981426002832807e-05,0.00012058564533159559,9.606027089669815e-05,0.00012190551889984291,0.00013113095076965078,0.00020875880779265449,8.626015661585144e-05,0.00018985539593015845,0.00018041008696496094,0.00012644136285321617,2.545254728275154e-05,0.00016159896672232908,0.0001479568840867328,0.00017436300822430337,0.00021422050805440876,0.0001494880897962706,0.00014361634856931973,0.00014112508485699353,9.871903379356133e-05,0.00015719367300541049,0.0001255247376152468,8.471387452700082e-05,0.0002195615488088003,0.0002187831426446574,0.0002584907759592326,0.00014784399130380734,0.00018049256739605118,0.00013243511441156166,0.00014718810991840896,0.00020668795121919675,0.00013308391859973468,6.912570819191176e-05,0.00022879598460115414,0.00014369637476119963,0.0001647231331655696,0.00020581809527715864,0.00014709697474156528,0.00019365200365478196,0.00011910730058191127,0.0001632753593320831,0.00011760247261086504,-0.0006720666365027199,0.00018122191994902906,0.000136059570737633,7.613752365993474e-05,0.00016531866549555948,0.0001039495209955427,0.00019906569691072144,0.0001466160088551289,0.00019986155928509365,0.000125877723654382,0.00018486553418838663,0.0001769957666618074,0.00014721087250016063,0.0001470908242784831,9.798567344684639e-05,0.00013023595225769932,0.00021155077993674167,8.796784894015326e-05,0.0001813437198003223,0.00020973442593341933,0.00013819199523995427,0.00018288861794138914,9.395772301866104e-05,0.00013910853282118622,0.0001451522255090759,0.000197234864934438,0.00019825263621469727,0.0001858108396942936,0.0002088665358983233,0.00013086182110991836,0.00010844942509012028,0.0001529610248789562,0.00012452954611294215,0.00022086651510941848,0.00026006234823302936,0.00016176939161263962,0.00015851831881143525,0.0001603615756487719,0.0002231034735707344,9.0644763581987e-05,0.0001799393663388391,0.00019379124560349922,0.00015636895426413794,0.0002525233286114944,0.00011912315205299422,8.147806042973162e-05,0.00022387358726479818,8.129614713539689e-05,0.00022519529371752903,0.00019176344598878801,7.610421156900952e-05
emr.us,0.00015898304899349307,0.00017424452999898572,0.00014959111376443523,0.00030991941705947964,0.00017962558697225136,0.00013565589931251897,0.0001351135451191207,0.00021347301292771494,0.00014754948113321762,0.00020211646843358008,0.00028455067218071577,0.0003482277165981709,0.00010196364737698629,8.557547147790737e-05,0.00037341925356290385,0.0002628958096748007,0.00018576611246008646,0.0001625864710054546,0.00023295003463104111,0.00017389585999104553,0.00018766276594696954,0.00018651422475974183,0.00011660107357275256,0.00017937784051951918,0.0003201399265742482,0.00013309884580788755,0.0002940052244782302,8.69851123592502e-05,0.00013353223539701783,0.00015679740523137544,0.00019354386075089307,0.00018930061332237633,0.00019388785332701217,0.00014688052795297247,0.0002420258334805557,0.00016048806143510887,0.00010081784894036819,0.00010247240243330682,0.0001931901526729075,0.00019309960477553642,0.00015809181381465864,0.0003511050381684036,0.00018704393142721643,7.863612286555737e-05,0.00023586701485870588,0.0002198442314108172,0.0002610529089201013,0.00016799493141817192,0.00016926507289544607,0.00027313304503768403,0.00021213729955971586,0.0002918925878740069,0.00026386903068471867,0.00015462230822856443,0.00019521846030916187,8.354579414942721e-05,0.00019449389210763395,0.00018021771542970478,0.00017983917854518224,0.0001464816448180051,0.0001508173410192884,0.00022746638947865384,0.00039354852968838297,5.52384062240852e-05,0.0001706448539493584,0.00027906577207016415,0.00024404796681231665,0.00031160192447506,0.00040360942119528083,0.0001896737589655731,0.0001932832706265794,0.00023613275420549226,0.00026197829369682847,0.000312607596013162,0.0001798329694652026,0.00017599308110798295,0.0003120301810091138,0.00025086481152945735,0.00025391610798417995,0.0001660627413131859,0.00010256139296943489,0.00013081126899435288,0.0001693792013297621,0.00034072026279402475,0.0001768643104439901,0.00010259476652067236,0.00013296766056435953,0.0002157574779131127,9.656163137270385e-05,0.00015850744968067183,0.00020309548289957705,0.00013845726828213862,0.00012595137406323998,0.0002320996463040694,0.00013663413086428675,8.908940386944232e-05,0.0001521183530448793,0.0002330526806784576,0.0002524969616240071,0.0002075692127057394,0.0001529108499244171,0.0002636561429207875,0.00030230659746021977,0.0002551098903152804,0.0002533807648554891,0.00025090330580809637,0.0002319913331388724,8.58839404034068e-05,0.00010073051149991705,0.00014244932689346093,0.00012577313554981606,0.00011595036460825952,0.00018584604092452018,0.0002509297085465342,0.00012076012121984879,0.00021952562878473964,0.00023490983614051734,0.00017327834418605714,0.00010251228688628312,0.0001538243538584134,0.0001890731728821909,0.00024605728492290986,0.00024003433733193262,0.0001892468912170813,0.00011366667976281841,0.0001801753269874309,0.0001286438503021447,0.00021586089843273441,0.00010397239614914688,0.0001315484118221566,0.00027252039307821424,0.00019752791992449606,0.0002765198536986693,0.00017830617805727613,0.00016161488163887543,0.0002328104245488341,0.00020151253441905436,0.0002236225863021711,0.00014963493702520317,0.00012329865222319866,0.0003562157128269468,0.0001298991676966494,0.00018312692158548586,0.00027057067080682554,0.00017367274942271517,0.0002830151462307324,0.00017219324402530795,0.00023040339293063422,0.00012290315687165106,-9.570183832221141e-05,0.0002660210544431083,0.00017732928763095637,0.00010894572936300265,0.00023810184622405505,0.00011091165778663763,0.0002673548835684391,0.0001744711294735731,0.00031137526379168096,0.00014616737682542625,0.00019159144636975896,0.00021540068489984038,0.000311290798763822,0.00020246457385812933,0.00019944987616639387,0.00016890883798744457,0.00025743860741476814,0.00012059425364541066,0.00020821261368754736,0.0002827692394777195,0.0001936305315947287,0.0003111110181050071,0.00012611693996416768,0.0001889480611469135,0.0002044554495159528,0.00020376127216431417,0.00030364080666751044,0.0002387143620928531,0.00031334154257312865,0.00011553362397499717,0.00013915778941844307,0.00019683886764108947,0.00016824650910782086,0.00020540634880717592,0.00020034389602602138,0.0001776404180745574,0.0001660579394593179,0.00023171491811019654,0.00020161322929796027,0.00010207554957498823,0.00023534722861261339,0.0002890075816934512,0.00023045228366572995,0.000254337173113793,0.00014743599933470962,0.0001308755902539497,0.00025304893132901176,0.00010988549725878308,0.000284074102869703,0.00023983729061978587,0.00014090925432248792
mchp.us,0.0001376070864711277,0.00014711824596760513,0.00015677771817055493,0.00017962558697225136,0.0003345086784996105,0.00012497599373500096,0.0001108334237598559,0.00017199721630067397,0.00012046401461849174,0.00018085448982154385,0.0002358867032062786,0.00030561787692310325,8.080946844043022e-05,7.007398869511827e-05,0.00030651007232535465,0.00020427648041003625,0.00020632750430589052,0.00013370799272601324,0.00017926283127182735,0.00022138226365000607,0.0001517215121457742,0.00017249386534388085,9.255930519250107e-05,0.00014046268246942784,0.0002528170188247187,0.0001135130253764237,0.000247564518541965,7.172493210082097e-05,0.0001049380387992756,0.00012625040163154414,0.00018812359462944402,0.0001673624460540376,0.0001971073307289657,0.00012608712211350904,0.00020595485912248835,0.00015184764827778807,9.283633316437442e-05,9.302526530466647e-05,0.00016833868780831375,0.00016072847400816633,0.0001319016092346858,0.00029601734426664664,0.00016965240790240912,6.885383617635624e-05,0.00021855921832295952,0.00020261035086139128,0.00024049596343516497,0.00015804376365330202,0.00016623282904224416,0.00020568019181189614,0.00018684824033286901,0.00025605720500177035,0.00022473870469219356,0.0001273726632193012,0.00015561905378985938,6.763167127904697e-05,0.00018208969565847172,0.00013388662719707617,0.00015618790719730454,0.00012728464610310862,0.00020694795283761848,0.00018010295915627948,0.00031572758299444896,5.171754020915979e-05,0.00014513334648099218,0.0002446921094428547,0.00021125167636233964,0.0002730880058904389,0.0003153102249767858,0.0001794692698565283,0.00017675444025236407,0.00022346790282243964,0.00026717186019094833,0.00029221029768754383,0.00014625199843913518,0.00015469416787533126,0.00025818936224333193,0.00022076903193659643,0.00020440845239375852,0.00013521277759084475,9.226799737428931e-05,7.769562187851671e-05,0.0001512380597164547,0.0002805800744850794,0.00014593400524508593,7.999781486824307e-05,0.00013388071041837293,0.00016263965077468106,8.04335620887912e-05,0.00014978782171365257,0.0002500729362454066,0.00012057097242432935,0.00010533529185242494,0.00019607588051502004,0.00012421167689560477,7.451603597983378e-05,9.978910724711618e-05,0.00020018790664320745,0.0001904723480910679,0.00021075816693508662,0.0001243476657434217,0.00024547679748321543,0.0002607034317420218,0.00019885764294454153,0.0002007149933132575,0.00027729461491097623,0.00020214087723405776,6.901594525052846e-05,8.061967816986146e-05,0.00012685313250035914,9.483579823163643e-05,0.00010077516183979753,0.0001456189056423331,0.000257081791085137,9.971844784569325e-05,0.00019663836759240355,0.00019902845612886544,0.0001611319570878819,3.090667041380003e-05,0.00014091599518432506,0.00016786605942786968,0.0001915497242791249,0.0002013472553177846,0.0001630596886442545,6.341558667651813e-05,0.00014671060199800297,0.00010344411495560239,0.00017649330988926177,9.258952357282911e-05,0.0001010371125809455,0.00024789990285143884,0.00018954312481866547,0.00024199480974237378,0.00017424310640092028,0.00017193699506883847,0.0001922484729637267,0.00016230300693727048,0.0002202921271902787,0.00013656614121460703,9.87680485365233e-05,0.00027428136682582,0.00013421930040252082,0.0001683181975627205,0.00022218055106051514,0.00023986643376197673,0.00022972073947752106,0.00011539488565566796,0.00019580644666531547,0.00011481532016065857,-0.00015860483796547927,0.00021008014499647364,0.00014594063340955137,8.781980375073584e-05,0.00017187774311313024,9.408003155141242e-05,0.00021943277029901466,0.0001525346992212398,0.00025520657326194243,0.0001262938627530511,0.0001465675554252603,0.00018808193602050472,0.00020640125542753152,0.00016211295054693224,0.00017201849232893635,0.00013308737493572203,0.0002219387174521368,0.00010571494132507919,0.00020164908938088258,0.00023079608737817394,0.00013767648523680816,0.00023460529748139193,0.00010322665276130627,0.0001679445278840988,0.00017266670870127383,0.00018323623781107309,0.000256785366832791,0.00020310166836306508,0.00023570294061599033,0.00011699649083294969,0.00010487408993455943,0.00016558174326423115,0.00011058620907245529,0.00017463195018902242,0.00019001124938246964,0.0001665650382401888,0.00015451873600697783,0.00019451248305370333,0.00019542535473843632,8.058685088422945e-05,0.0002052847656793647,0.00022113116206280416,0.0002087687964862839,0.00027541364542446367,0.00012111292080601762,0.00010379118989450698,0.00021751653615940313,8.445201012122027e-05,0.000248177487901242,0.0001874406168531738,8.929648053723422e-05
ibm.us,0.00010082645390776511,0.00011195865427380615,9.684303712857808e-05,0.00013565589931251897,0.00012497599373500096,0.00018874398402047424,8.610834001143606e-05,0.00013096564182483184,9.446949980879642e-05,0.00013351598709974188,0.0001589786491832948,0.0002238088320742965,6.922516620332163e-05,5.606785180975538e-05,0.00022055832698953033,0.00015402189187540074,0.00013246170963532325,9.61410532889266e-05,0.00013273764549479722,0.00011972712035711627,0.00011378315964360196,0.00011188269632714096,8.151562005928549e-05,0.00010953765613422394,0.00020807096550879537,9.325028167980377e-05,0.00017146656444362877,6.242176296054548e-05,8.210608290801273e-05,0.00010886993977743528,0.0001340347721362913,0.00011723697911554998,0.00013614787906316995,9.784941834557207e-05,0.00015496611408781307,0.00011449204422074108,7.393793293382752e-05,7.712228676770317e-05,0.00012192403240024643,0.0001259649502036761,0.00010783922928012927,0.0002061505486048551,0.00011420487216623269,5.6112221090378475e-05,0.00015181656958000007,0.00014843063760151332,0.00015933052125829305,0.00012310092206800372,0.000122799968698606,0.00015813304899133502,0.0001376451333663359,0.00017555801705786822,0.00016584470766627511,9.884746206555755e-05,0.00011835424004391656,5.36128312632827e-05,0.00012198310048446233,0.00010877084222903046,0.00010945909224380462,9.708409744861359e-05,0.00010883851807595908,0.00013789749339399596,0.00025092030299389393,3.410467637524096e-05,0.0001106689235243528,0.00018182732655449237,0.0001602472047819919,0.00021152082369204188,0.00023098236009594763,0.00012343487113951316,0.00012687839343413217,0.0001545534003569236,0.0001724884531607049,0.00019373389759394836,0.00010760248448861373,0.00011643551936763847,0.00017893740267571064,0.00017562918690374797,0.00015359093854556098,0.00010988251591786956,6.934604628699924e-05,6.355426980827054e-05,0.0001101439002020233,0.0001965119152941023,0.00011035856033069336,6.593024215513446e-05,9.655166643472951e-05,0.00012831074850139568,7.299020842219189e-05,0.00011317781635968054,0.00013742587081205687,9.918020070323644e-05,8.52478595945732e-05,0.00014683221276128147,8.886512166514024e-05,5.95051576545261e-05,7.469680698970857e-05,0.00014112114934722935,0.000146339919028754,0.00014608984057013307,9.781596383660127e-05,0.00016391104560554474,0.0001775424276101092,0.00016361519878172812,0.00013764925347123743,0.0001618418914198486,0.00016395164299770203,5.612221683516192e-05,6.424661440321394e-05,9.930830051349989e-05,8.037976384876957e-05,8.268294420532683e-05,0.00010872001045954254,0.00017407356812307778,8.559814497816783e-05,0.00014481235553455844,0.0001444965697579678,0.00012131836187187995,6.144077663916805e-05,9.813778510504117e-05,0.00012788529973834864,0.00014132421713715574,0.00014717290889923354,0.00012362721742635707,9.224444759745428e-05,0.00011116684297355112,7.890363365231581e-05,0.0001362054965745853,7.605955285245985e-05,8.239387153827816e-05,0.0001575637475847379,0.00014165693493917392,0.00019144640990595324,0.00013540866851685751,0.00010582829166572086,0.00014637123523884572,0.00012862667806206305,0.00014478103184924855,0.00010587196353234602,7.71441137433842e-05,0.0001922318107721325,9.710357697215402e-05,0.0001382147873189817,0.0001724633205413105,0.00011894740318525226,0.00017430301770287495,9.141001148185203e-05,0.00014125501727498612,8.492039783557883e-05,-8.882909892708068e-05,0.00015133863852300573,0.00011279991875090851,7.273312033056985e-05,0.00013269559373823596,7.66174294472873e-05,0.00016798964673603564,0.00010545031780559343,0.0001815917135411437,9.294033262249623e-05,0.00012731822724880201,0.00013529080926292538,0.00012103535380939202,0.00011779099963494284,0.0001284477644873685,9.827863153106464e-05,0.00016888259021351134,7.885181895686705e-05,0.0001383781688133845,0.0001774292471191034,0.00010290268774402964,0.00016795790772696913,8.436227977838698e-05,0.0001247466576765145,0.0001237436391686075,0.00012594004985242707,0.00018928883877026193,0.00014906731820528267,0.00017398013332433512,8.340207452044702e-05,9.382911610187346e-05,0.00012861087031033273,7.90441788583323e-05,0.00012701628594392206,0.00012498761416133918,0.00012295735884502453,0.00010358718099220951,0.00015323572364939,0.00011943220874986228,7.005174964688162e-05,0.0001612797062585856,0.00015598589735597992,0.00014488278633717266,0.00017612116328549608,9.536589833657979e-05,8.40915984135743e-05,0.000162211002925671,7.152945358955933e-05,0.0001672008654476218,0.00013441800360241492,6.718308105918834e-05
